year,location,languages
2014,India,Java;JavaScript;PHP;Python
2014,Thailand,PHP
2014,Iran,C#;JavaScript;SQL
2014,Ukraine,C++
2014,India,Java;JavaScript;SQL
2014,India,SQL;oracle plsql
2014,India,Java;JavaScript;SQL
2014,United Kingdom,C#
2014,New Zealand,C#;JavaScript;SQL
2014,Israel,C#;JavaScript;SQL
2014,Czech Republic,C#;JavaScript;SQL
2014,United Kingdom,C;C++;C#;Java;JavaScript;C
2014,United States,Python
2014,United Kingdom,Java;JavaScript
2014,Canada,C++;C#;Python
2014,United States,C#;JavaScript;SQL;Powershell
2014,Germany,C++;Python;CMake; Lua
2014,Germany,C;C++
2014,United Kingdom,JavaScript;PHP
2014,United States,Java;JavaScript;SQL;perl
2014,United States,C#;Java
2014,India,JavaScript;Node.js;PHP;Python
2014,United States,C;C++;Objective-C
2014,United States,Java;JavaScript;PHP;SQL
2014,India,C#;JavaScript;SQL
2014,Ireland,C#;SQL;VB.NET
2014,United States,JavaScript;Ruby;SQL
2014,United States,C++;JavaScript;VB .Net
2014,United States,PHP;SQL
2014,United States,Objective-C;PHP;SQL
2014,Lithuania,C#;JavaScript;SQL
2014,Italy,Python
2014,Israel,C++
2014,India,C++
2014,Canada,Java;JavaScript;SQL
2014,United Kingdom,C;C++;JavaScript;Node.js;Ruby;SQL
2014,United Kingdom,JavaScript;Python;SQL
2014,Ireland,C;C++;Python
2014,India,Python
2014,France,Java;JavaScript;PHP;SQL
2014,Finland,C++;PHP;Python
2014,India,JavaScript;Node.js;PHP;SQL
2014,New Zealand,C;Python;SQL
2014,India,Java;Objective-C;SQL
2014,Ecuador,j
2014,United States,C#;JavaScript;SQL
2014,United States,Java;JavaScript;PHP;Python;Ruby;SQL
2014,United States,C#;JavaScript;PHP;SQL;powerbasic
2014,United States,JavaScript;PHP;Python;SQL
2014,Spain,C++;C#;Python
2014,Canada,C++;Python
2014,United States,C#;SQL
2014,United States,C;C++;C#;Java;JavaScript;SQL
2014,Vietnam,C;Java;Node.js;Objective-C;PHP;SQL
2014,United Kingdom,C++;JavaScript;Node.js;SQL
2014,Germany,JavaScript;Node.js;PHP;Python;SQL
2014,Chile,C++;JavaScript;Node.js;Objective-C
2014,France,JavaScript;PHP;SQL
2014,India,C#;Java;JavaScript;Node.js;PHP
2014,United States,SQL;VB.Net
2014,France,Java;JavaScript;Objective-C;PHP
2014,United States,Java;Scala
2014,Germany,Java;PHP
2014,United States,C;C++;Python
2014,Ukraine,C;C++;C#;JavaScript;SQL
2014,Ukraine,C;C++;JavaScript;SQL
2014,India,JavaScript;PHP;MySql
2014,Finland,C#;SQL;Powershell
2014,United Kingdom,C#;JavaScript;SQL;VB
2014,United Kingdom,C#;SQL;VB.net
2014,China,C#;Java;JavaScript;SQL
2014,United States,JavaScript;Node.js
2014,United Kingdom,C#;Java;JavaScript;SQL
2014,India,C#;JavaScript;SQL;JQuery; HTML; XAML
2014,India,C#;JavaScript;SQL
2014,United Kingdom,C#;SQL;vb
2014,United Kingdom,C#;SQL
2014,Netherlands,C#;JavaScript
2014,Turkey,PHP;SQL
2014,Ukraine,C#;Java
2014,United States,JavaScript;Python
2014,United States,SQL;Crystal
2014,Egypt,C;C++;C#;Java;JavaScript;Python;SQL;Embedded C; HTML; CSS
2014,Brazil,Java;Objective-C
2014,Germany,C#;JavaScript;Node.js;Python
2014,Belgium,JavaScript;Ruby;SQL
2014,Italy,C++;Java;JavaScript;PHP;SQL
2014,Brazil,C;C#;JavaScript;Python;SQL;as3
2014,Mexico,Java;JavaScript;SQL
2014,Canada,C#;Java;SQL
2014,Germany,Java;R
2014,Switzerland,C;Java;JavaScript;AngulaJS
2014,United Kingdom,Python;Ruby;SQL
2014,Croatia,C;C++;C#;Java
2014,Netherlands,JavaScript;Ruby;SQL
2014,France,Java;JavaScript;Node.js;SQL
2014,United Kingdom,C#;JavaScript;SQL
2014,Romania,JavaScript;PHP;SQL
2014,India,C;Java;JavaScript;SQL
2014,United Kingdom,C#;VB.Net
2014,Netherlands,JavaScript;PHP
2014,India,C;C++
2014,United Kingdom,C#;JavaScript;Node.js
2014,United Kingdom,JavaScript;Node.js;perl
2014,Czech Republic,C;C++;C#;Java;JavaScript;PHP;Python;SQL
2014,United States,Java;JavaScript;Node.js;PHP;Ruby;SQL
2014,United Kingdom,JavaScript;PHP
2014,United States,C++;C#;PHP;Python;SQL
2014,United States,C#;JavaScript;SQL
2014,United States,Java;JavaScript;Objective-C;PHP;SQL
2014,United Kingdom,C#;JavaScript;SQL;VBScript; JScript
2014,Netherlands,C#;JavaScript;SQL
2014,India,C#;JavaScript;PHP
2014,Germany,Java;Objective-C
2014,United Kingdom,JavaScript;PHP
2014,United States,JavaScript;PHP;SQL
2014,Austria,C;C++;C#;SQL
2014,United States,JavaScript;Python;Ruby;SQL
2014,France,C;C++
2014,United States,C++;Java;SQL
2014,United States,C;JavaScript;bash
2014,New Zealand,JavaScript;SQL;Abap
2014,United States,JavaScript;Ruby;SQL
2014,United States,Objective-C
2014,United Kingdom,Java;JavaScript
2014,United Kingdom,JavaScript;Node.js;PHP;SQL;Go; MongoDB; Redis; CouchDB; AngularJS; Phonegap
2014,United States,JavaScript;PHP;Ruby;SQL
2014,Algeria,C
2014,Ukraine,Java;JavaScript
2014,China,C;C++;Java;JavaScript;PHP
2014,United States,Not in TEch
2014,United States,C#;JavaScript;SQL
2014,United States,Python
2014,Romania,C#;Java
2014,Poland,C++;PHP;SQL
2014,India,Java;JavaScript
2014,Tunisia,Java
2014,Israel,C#;Java;JavaScript;SQL
2014,United Kingdom,Java;JavaScript;Python
2014,India,Objective-C;SQL
2014,Argentina,C#
2014,Spain,JavaScript;PHP;CSS; HTML; AMPL
2014,United States,Python
2014,Germany,C#;JavaScript;SQL
2014,United States,Python
2014,Germany,Java;PHP;SQL;PL1;Cobol;JCL;REXX
2014,United States,JavaScript;Node.js;PHP;SQL
2014,United States,JavaScript;PHP;SQL;Perl
2014,Germany,C;C++;Perl
2014,United Kingdom,Java;JavaScript;PHP;SQL
2014,Netherlands,PHP;Python
2014,Bulgaria,C;C++;C#;Java;installshield
2014,Norway,Java;JavaScript
2014,Japan,JavaScript;PHP
2014,United Kingdom,PHP
2014,United States,Java;JavaScript;Ruby
2014,United States,JavaScript;Node.js
2014,United States,C++;C#;Node.js;Haskell
2014,Austria,C;C++;C#;Java;JavaScript;SQL
2014,Pakistan,C#;Java;JavaScript
2014,United States,JavaScript;Ruby
2014,Germany,Java;JavaScript;Python;Perl
2014,United States,C;C++;C#
2014,United Kingdom,C#;JavaScript;SQL
2014,Norway,Java;JavaScript;SQL
2014,United States,C++;Java;JavaScript;PHP;Python;SQL
2014,United States,C;JavaScript;PHP;SQL
2014,Australia,Python;Lua
2014,Italy,C;SQL
2014,Netherlands,C#;JavaScript;Python;SQL
2014,Brazil,C#;JavaScript;SQL
2014,United Kingdom,Python
2014,Finland,C;Java;JavaScript;SQL
2014,United States,PHP;SQL
2014,Turkey,Java
2014,United States,JavaScript;Ruby
2014,United States,C#;Java;Force.com
2014,United States,JavaScript;PHP
2014,United States,Java;Python;Ruby;SQL;Scala; Clojure
2014,United States,JavaScript;PHP;SQL
2014,United States,Objective-C;Python
2014,United States,JavaScript;PHP;SQL;PowerShell; zsh
2014,Sweden,PHP;SQL
2014,United Kingdom,Objective-C;Ruby;Haskell
2014,Australia,JavaScript;PHP;SQL
2014,Australia,C;C++;C#;Java;JavaScript;Node.js;Objective-C;PHP;Python;Ruby;SQL
2014,United States,SQL;VB.Net
2014,United States,C++;C#;Java
2014,United Kingdom,C++;C#;PHP;SQL
2014,Canada,Java;Node.js;Python
2014,Denmark,C#;JavaScript;SQL
2014,Australia,Java;Node.js;Objective-C;PHP
2014,United States,C++;Python;MATLAB
2014,United States,C;C#;JavaScript;Node.js;Objective-C
2014,Switzerland,Clojure; Go
2014,Brazil,C++;Java;Python
2014,South Africa,Java;JavaScript;SQL
2014,United States,C;bash
2014,United States,C;C++;Python
2014,United States,Objective-C
2014,United States,C#;JavaScript;F#
2014,India,C;C++;Java;JavaScript;PHP;SQL
2014,United States,JavaScript;Python
2014,United States,C#;JavaScript;SQL
2014,Sweden,C++;JavaScript;PHP;Python;SQL
2014,United States,JavaScript;PHP;SQL
2014,Turkey,C;C#;JavaScript;Python
2014,Lithuania,C;JavaScript;Objective-C;Python;SQL
2014,United Kingdom,C++;Java
2014,United States,C#;JavaScript;SQL
2014,United States,JavaScript;SQL;VB
2014,United States,C#;JavaScript;SQL
2014,United States,C#;JavaScript
2014,United States,Java;JavaScript;Python;SQL
2014,United States,C#
2014,United States,C#;SQL
2014,United States,C#;JavaScript;SQL
2014,United Kingdom,JavaScript;Objective-C;Ruby
2014,United States,C#;Java;JavaScript;SQL
2014,United States,JavaScript;PHP;Python
2014,Norway,C#;Java;JavaScript;HTML; My own language
2014,United Kingdom,C;C++;C#;JavaScript;PHP;Ruby
2014,India,C#;JavaScript;SQL;VB.Net
2014,United States,C#;Java;JavaScript;SQL
2014,United States,Objective-C;Python
2014,Austria,C;C++;Objective-C
2014,South Africa,C#;JavaScript;SQL;Powershell
2014,United States,C#;Java;JavaScript
2014,United States,C#;Java;JavaScript;SQL
2014,Romania,C;C#;Java;PHP;SQL;Assembly
2014,Denmark,JavaScript;Python
2014,United States,C#;JavaScript;PHP;Python
2014,United States,C#;SQL;F#
2014,United States,C#;JavaScript;SQL
2014,United States,C#;Java;JavaScript;SQL
2014,United States,C++;C#
2014,United States,C#;Java;Objective-C
2014,United States,C#;Java;SQL
