year,language,location,latitude,longitude,last_speaker
2016,Gugu Thaypan,"Queensland, Australia",-21.918286,144.458889,with the death of Tommy George[3]
2016,Mandan,"North Dakota, United States",47.620146,-100.540737,with the death of Edwin Benson[1]
2016,Nuchatlaht dialect of Nuu-chah-nulth,"British Columbia, Canada",55,-125,with the death of Alban Michael[4]
2016,Wichita,"Oklahoma, United States",34.955082,-97.268406,with the death of Doris McLemore[2]
2014,Klallam,"Washington, United States",38.894955,-77.036646,with the death of Hazel Sampson[5]
2013,Livonian,Latvia,56.86669,24.599972,with the death of Grizelda Kristina[6]
2013,Yurok,"California, United States",36.701463,-118.755997,with the death of Archie Thompson[7]
2012,Cromarty dialect of Scots,"Northern Scotland, United Kingdom",55.845157,-3.604342,with the death of Bobby Hogg [8]
2012,Dhungaloo,"Queensland, Australia",-21.918286,144.458889,with the death of Roy Hatfield[9]
2012,Holikachuk,"Alaska, United States",64.445961,-149.680909,"with the death of Wilson ""Tiny"" Deacon[11]"
2012,Upper Chinook,"Oregon, United States",43.97928,-120.737257,with the death of Gladys Thompson[10]
2011,Lower Arrernte,"Northern Territory, Australia",-19.85161,133.230337,with the death of Brownie Doolan Perrurle[12]
2011,Babuza,China,35.000074,104.999927,
2010,Aka-Bo,"Andaman Islands, India",39.78373,-100.445882,with the death of Boa Sr.[14]
2010,Cochin Indo-Portuguese Creole,Southern India,30.349418,79.819012,with the death of William Rozario[13]
2010,Pazeh,Taiwan,23.973937,120.982018,with the death of Pan Jin-yu[13]
2010,!Gan!ne,South Africa,-28.816624,24.991639,
2009,Agavotaguerra,Brazil,-10.333333,-53.2,[19]
2009,Aka-Jeru,"Andaman Islands, India",39.78373,-100.445882,[16]
2009,Aka-Kora,"Andaman Islands, India",39.78373,-100.445882,with the death of Ms. Boro[15]
2009,Aribwatsa,Papua New Guinea,-5.681607,144.248908,[23]
2009,Arikem,Brazil,-10.333333,-53.2,[20]
2009,Gugu Badhun,"Queensland, Australia",-21.918286,144.458889,
2009,Karipúna,Brazil,-10.333333,-53.2,[21]
2009,Lelak,"Sarawak, Malaysia",2.392623,113.646867,[4]
2009,Muruwari,"Queensland and New South Wales, Australia",-33.893068,151.184862,[18]
2009,Nyawaygi,"Queensland, Australia",-21.918286,144.458889,with the death of Willie Seaton[17]
2009,Papora-Hoanya,Taiwan,23.973937,120.982018,[24]
2009,Pataxó Hã-Ha-Hãe,Brazil,-10.333333,-53.2,
2008,Dura,Nepal,28.108318,84.091679,with the death of Soma Devi Dura[25]
2008,Eyak,"Alaska, United States",64.445961,-149.680909,with the death of Marie Smith Jones[26]
2008,Plains Apache,"Oklahoma, United States",34.955082,-97.268406,"with the death of Alfred Chalepah, Jr."
2007,Gros Ventre,"Montana, United States",47.375267,-109.638758,[27] with the death of Theresa Lamebull[28]
2007,Javindo,"Java, Indonesia",-7.328018,109.612994,[29]
2007,Ata,Philippines,12.750349,122.73121,
2006,A-Pucikwar,"Andaman Islands, India",39.78373,-100.445882,[31]
2006,Wasco dialect of Upper Chinook,"Oregon, United States",43.97928,-120.737257,with the death of Madeline Brunoe McInturff[30]
2006,Whulshootseed,"Washington, United States",38.894955,-77.036646,with the death of Ellen Williams [32][33]
2005,Barrow Point,"Queensland, Australia",-21.918286,144.458889,[36]
2005,Berbice Creole Dutch,Guyana,4.84171,-58.641689,with the death of Bertha Bell[34]
2005,Osage,"Oklahoma, United States",34.955082,-97.268406,with the death of Lucille Roubedeaux[35]
2004,Duli,Cameroon,4.612552,13.153581,[37]
2003,Akkala Sami,"Kola Peninsula, Russia",39.78373,-100.445882,with the death of Marja Sergina[38][39]
2003,Alngith,"Queensland, Australia",-21.918286,144.458889,
2003,Areba,"Queensland, Australia",-21.918286,144.458889,[42]
2003,Atampaya,"Queensland, Australia",-21.918286,144.458889,[43]
2003,Garig Ilgar,"Northern Territory, Australia",-19.85161,133.230337,[41]
2003,Klamath-Modoc,"Oregon, United States",43.97928,-120.737257,[40]
2003,Umbindhamu,"Queensland, Australia",-21.918286,144.458889,[44]
2002,Gaagudju,"Northern Territory, Australia",-19.85161,133.230337,with the death of Big Bill Neidjie[46]
2002,Serrano,"California, United States",36.701463,-118.755997,with the death of Dorothy Ramon
2002,Unami,"Delaware, United States",38.692045,-75.401331,with the death of Edward Thompson[45]
2001,Amanayé,Brazil,-10.333333,-53.2,[47]
2000,Adithinngithigh,"Queensland, Australia",-21.918286,144.458889,
2000,Aghu Tharnggala,"Queensland, Australia",-21.918286,144.458889,[50]
2000,Arritinngithigh,"Queensland, Australia",-21.918286,144.458889,
2000,Ayabadhu,"Queensland, Australia",-21.918286,144.458889,[50]
2000,Gurnai,"Victoria, Australia",-36.59861,144.678005,[50] now being revived
2000,Mesmes,Ethiopia,10.21167,38.65212,with the death of Abegaz[48][49]
2000,Sowa,"Pentecost Island, Vanuatu",-15.732231,168.17839,with the death of Maurice Tabi
2000,Canichana,Bolivia (Plurinational State of),-17.05687,-64.991229,
2000,Cholon,Peru,-6.86997,-75.045851,
1999,Ineseño,"California, United States",36.701463,-118.755997,[52]
1999,Nyulnyul,Australia,-24.776109,134.755,with the death of Carmel Charles [51]
1999,Apolista,Bolivia (Plurinational State of),-17.05687,-64.991229,
1998,Mlahsô,Syria; Turkey,39.78373,-100.445882,with the death of Ibrahim Hanna [53]
1997,Munichi,"Loreto Region, Peru",-4,-75.166667,with the death of Victoria Huancho Icahuate
1997,Ngarnka,Australia,-24.776109,134.755,
1997,Sireniki Yupik,"Chukotka Peninsula, Russia",39.78373,-100.445882,with the death of Valentina Wye[55]
1997,Skepi Creole Dutch,Guyana,4.84171,-58.641689,[54]
1996,Iowa-Oto,"Oklahoma and Kansas, United States",37.730056,-100.034423,with the death of Truman Dailey[57]
1996,Katabaga,The Philippines,12.750349,122.73121,[58]
1996,Malaryan,"Kerala and Tamil Nadu, India",11.602732,79.494413,[56]
1996,Palumata,"Maluku, Indonesia",-3.118837,129.420776,[59]
1996,Seru,"Sarawak, Malaysia",2.392623,113.646867,[60]
1996,|'Auni,South Africa,-28.816624,24.991639,
1996,Chiwere,United States of America,39.78373,-100.445882,
1995,Aka-Cari,"Andaman Islands, India",39.78373,-100.445882,
1995,Lumaete dialect of Kayeli,"central Maluku, Indonesia",39.78373,-100.445882,[61]
1995,Martuthunira,Western Australia,-25.2303,121.018725,with the death of Algy Paterson[64]
1995,Taman variety of Sak,Myanmar,17.17505,95.999965,[63]
1995,Unggumi,Australia,-24.776109,134.755,with the death of Morndi Munro[62]
1995,Berakou,Chad,15.613414,19.015617,
1995,Berti,Sudan,14.584444,29.491769,
1994,Northern Pomo,"California, United States",36.701463,-118.755997,with the death of Edna Guerrero
1994,Sakhalin Ainu,Japan,36.574844,139.239418,with the death of Take Asai[65]
1994,Ainu (Kuril),Russian Federation,64.686314,97.745306,
1994,Ainu (Sakhalin),Russian Federation,64.686314,97.745306,
1993,Andoa,Peru,-6.86997,-75.045851,[66]
1993,Eastern Abnaki,"Maine, United States",45.709097,-68.85902,with the death of Madeline Shay[67][68]
1992,Ubykh,"Balıkesir Province, Turkey",39.78373,-100.445882,with the death of Tevfik Esenç[69]
1991,Pánobo,Peru,-6.86997,-75.045851,[71]
1991,Roncalese (Erronkariko) dialect,Spain,40.002803,-4.003104,with the death of Fidela Bernat[70]
1990,Shasta,"California, United States",36.701463,-118.755997,
1990,Wappo,"California, United States",36.701463,-118.755997,with the death of Laura Fish Somersal[72]
1990,Cowlitz,United States of America,39.78373,-100.445882,
1989,Hukumina,"Maluku, Indonesia",-3.118837,129.420776,[73]
1989,Kamassian,"Ural mountains, Russia",65.033172,60.115404,with the death of Klavdiya Plotnikova
1989,Kungarakany,"Northern Territory, Australia",-19.85161,133.230337,with the death of Madeline England[74][75]
1989,Leliali dialect of Kayeli,"central Maluku, Indonesia",39.78373,-100.445882,[61][74]
1989,Miami-Illinois,"along the Mississippi River, United States",39.78373,-100.445882,
1988,Atsugewi,"California, United States",36.701463,-118.755997,with the death of Medie Webster[76]
1988,Nooksack,"Washington, United States",38.894955,-77.036646,with the death of Sindick Jimmy [74]
1988,ǁXegwi,South Africa,-28.816624,24.991639,with the death of Jopi Mabinda[77]
1987,Basa-Gumna,"Niger State/Plateau State, Nigeria",39.78373,-100.445882,[82]
1987,Bidyara,"Queensland, Australia",-21.918286,144.458889,[78]
1987,Cupeño,"California, United States",36.701463,-118.755997,with the death of Roscinda Nolasquez[80]
1987,Dyangadi,"New South Wales, Australia",-31.875983,147.286949,[81]
1987,Kw'adza,Tanzania,-6.524712,35.787844,[79]
1987,Laua,Papua New Guinea,-5.681607,144.248908,
1987,Negerhollands,U.S. Virgin Islands,17.789187,-64.708057,with the death of Alice Stevens
1987,Yawuru,Western Australia,-25.2303,121.018725,[84]
1987,Yugambal,"Queensland, Australia",-21.918286,144.458889,[83]
1987,Baygo,Sudan,14.584444,29.491769,
1986,Bikya,Cameroon,4.612552,13.153581,
1986,Bishuo,Cameroon,4.612552,13.153581,
1986,Jiwarli,Australia,-24.776109,134.755,with the death of Jack Butler[85]
1986,Mangala,Western Australia,-25.2303,121.018725,[86]
1985,Newfoundland Irish,"Newfoundland, Canada",39.78373,-100.445882,[103]
1984,Yavitero,Venezuela,8.001871,-66.110932,[74][87]
1983,"Antrim dialect, Irish",Ireland,52.865196,-7.97946,with the death of Séamus Bhriain Mac Amhlaig[88][89]
1983,Kansa,"Oklahoma, United States",34.955082,-97.268406,with the death of Walter Kekahbah[90]
1983,Yangman,"Northern Territory, Australia",-19.85161,133.230337,[91]
1982,Dagoman,"Northern Territory, Australia",-19.85161,133.230337,with the death of Martha Hart [92]
1982,Dirari,South Australia,-30.534366,135.630121,[95]
1982,Dyaberdyaber,Western Australia,-25.2303,121.018725,[96][97]
1982,Dyugun,Western Australia,-25.2303,121.018725,[93]
1982,Erre,"Northern Territory, Australia",-19.85161,133.230337,[98]
1982,Kato,"California, United States",36.701463,-118.755997,[94]
1982,Umbugarla,"Northern Territory, Australia",-19.85161,133.230337,with the death of Butcher Knight
1982,Yawarawarga,Queensland and South Australia,39.78373,-100.445882,[99]
1982,Aore,Vanuatu,-16.525507,168.106915,
1981,Ternateño,"Maluku, Indonesia",-3.118837,129.420776,[100]
1981,Warrungu,"Queensland, Australia",-21.918286,144.458889,with the death of Alf Palmer[101]
1981,Bina,Papua New Guinea,-5.681607,144.248908,
1980,Chicomuceltec,Mexico; Guatemala,17.270829,-90.874424,
1980,Flinders Island,Australia,-24.776109,134.755,last known speaker was Mr. Johnny Flinders[101]
1980,Pitta Pitta,"Queensland, Australia",-21.918286,144.458889,"with the deaths of Ivy Nardoo of Boulia, and Linda Craigie of Mount Isa.[105]"
1980,Twana,"Washington, United States",38.894955,-77.036646,[74][102]
1977,Muskum,western Chad,39.78373,-100.445882,[108]
1977,Nagumi,Cameroon,4.612552,13.153581,[107]
1977,Shuadit,southern France,-44.151178,63.860456,with the death of Armand Lunel[74][106]
1976,Aasáx,Tanzania,-6.524712,35.787844,[109]
1976,Kwadi,southwestern Angola,39.78373,-100.445882,[104]
1975,Homa,southern Sudan,18.946753,32.381248,[110]
1975,Yugh,"central Siberia, Russia",56.493719,84.948856,[74][111]
1974,Manx,"Isle of Man, United Kingdom",53.779587,-2.483369,with the death of Ned Maddrell. Now being revived as a second language[112]
1974,Moksela,"Maluku, Indonesia",-3.118837,129.420776,[113]
1974,Ona,"Tierra del Fuego, Argentina",-53.890464,-68.348598,with the death of Ángela Loij
1973,Cacaopera,El Salvador,13.800038,-88.914068,[114]
1972,Hanis,"Oregon, United States",43.97928,-120.737257,with the death of Martha Harney Johnson [115]
1972,Mbabaram,"Queensland, Australia",-21.918286,144.458889,with the death of Albert Bennett[116]
1972,Birgid,Sudan,14.584444,29.491769,
1970,Tillamook,"Oregon, United States",43.97928,-120.737257,[74]
1970,Arman,Russian Federation,64.686314,97.745306,
1968,Welsh-Romani,"Wales, United Kingdom",52.292812,-3.73893,with the death of Manfri Wood[117]
1967,Sened,Tunisia,33.843941,9.400138,
1965,Barbareño,"California, United States",36.701463,-118.755997,with the death of Mary Yee [118]
1965,Cappadocian Greek,Greece,39.000041,21.999957,[123]
1965,Natchez,"Mississippi, United States",32.971565,-89.73485,[119] with the deaths of Nancy Raven [120] and Watt Sam
1965,Pirlatapa,South Australia,-30.534366,135.630121,[122]
1965,Timor Pidgin,East Timor,-8.515198,125.837576,[124]
1965,Wakawaka,"Queensland, Australia",-21.918286,144.458889,[121]
1964,Aariya,India,22.351115,78.667743,[125]
1963,Galice,"Oregon, United States",43.97928,-120.737257,with the death of Hoxie Simmons
1963,Jorá,Bolivia,-17.05687,-64.991229,[74]
1962,Wiyot,"California, United States",36.701463,-118.755997,with the death of Delia Prince[126]
1962,Wyandot,"Oklahoma, United States; Quebec, Canada",39.78373,-100.445882,
1960,"Leinster dialect, Irish",Ireland,52.865196,-7.97946,with the death of Annie O'Hanlon[127][128]
1960,Siuslaw,"Oregon, United States",43.97928,-120.737257,with the death of Mary Barrett Elliott. Last speaker of Lower Umpqua dialect was Billy Dick[115]
1959,Catawba,"South Carolina, United States",33.687439,-80.436374,with the death of Chief Sam Blue [129]
1958,Molala,"Oregon, United States",43.97928,-120.737257,with the death of Fred Yelkes[115]
1958,Omurano,Peru,-6.86997,-75.045851,[74][130]
1958,Salinan,"California, United States",36.701463,-118.755997,
1956,Wotapuri-Katarqalai,Afghanistan,33.000087,64.999847,[131]
1955,Pijao,Colombia,2.893078,-73.784507,[132]
1955,Tây Bồi,Vietnam,13.290403,108.426511,[133][134]
1954,Central Kalapuya,"Oregon, United States",43.97928,-120.737257,with the death of John B. Hudson[115]
1954,Ifo,"Erromanga Island, Vanuatu",39.78373,-100.445882,with the death of James Nalig[135]
1952,Martha's Vineyard Sign Language,"Massachusetts, United States",42.378877,-72.032366,with the death of Katie West
1951,Alsea,"Oregon, United States",43.97928,-120.737257,with the death of John Albert[115]
1950,|Xam,South Africa,-28.816624,24.991639,
