year,location,languages
2015,Croatia,Java;Scala
2015,France,C#
2015,India,C#
2015,Latvia,JavaScript;LAMP;Node.js;PHP;Python;Redis;SQL;lua
2015,Norway,C#;Go
2015,United States,C#;JavaScript;SQL Server
2015,N/A,Java;JavaScript;LAMP;PHP;SQL
2015,Argentina,"Cloud (AWS, GAE, Azure, etc.);JavaScript;MongoDB;Node.js;Python;Redis;Ruby;SQL"
2015,Australia,C#;JavaScript;MongoDB;SQL Server
2015,Belgium,Android;Arduino / Raspberry Pi;AngularJS;C#;PHP;SQL Server;Windows Phone;Xamarin
2015,Belgium,Android;Arduino / Raspberry Pi;iOS;Java;Objective-C
2015,Belgium,C#;PHP;Windows Phone;X++
2015,Brazil,C#;JavaScript;Python;Sharepoint;SQL Server;Wordpress
2015,Brazil,C;Java;Python
2015,Brazil,C#;SQL Server
2015,Canada,C;C++;C++11;C#;Java;JavaScript;Objective-C;Sharepoint;SQL;SQL Server
2015,Canada,SQL;SQL Server;vb.net
2015,Canada,Java;JavaScript
2015,Canada,C#;SQL
2015,Canada,JavaScript;LAMP;PHP;SQL;Wordpress
2015,Canada,C#;JavaScript;SQL;SQL Server
2015,China,C#;CoffeeScript
2015,Denmark,Sharepoint;SQL Server
2015,Denmark,C#;JavaScript;PHP
2015,Denmark,Clojure;JavaScript;MongoDB;PHP;Salesforce;SQL;ClojureScript
2015,Denmark,"AngularJS;C#;Cordova;Cloud (AWS, GAE, Azure, etc.);JavaScript;Node.js;SQL;SQL Server"
2015,Egypt,JavaScript;PHP;Python;SQL
2015,Finland,Java;groovy/grails; drools
2015,France,C#;Python;Redis;SQL;SQL Server
2015,France,Java
2015,France,Java;SQL
2015,France,JavaScript;LAMP;MongoDB;Node.js;PHP;SQL;Symfony2
2015,Germany,C#;JavaScript;Sharepoint;Windows Phone
2015,Germany,C#;JavaScript;SQL Server
2015,Germany,"Android;Arduino / Raspberry Pi;AngularJS;Cloud (AWS, GAE, Azure, etc.);Java;JavaScript;MongoDB;Node.js;Python;R"
2015,Germany,C++;C#;iOS;Java;MongoDB;Objective-C;Python;SQL;Swift
2015,Germany,Java;JavaScript;PHP;SQL;Java EE
2015,Germany,Android;Java;MongoDB;SQL
2015,Germany,Java;JavaScript;MongoDB;SQL
2015,Germany,C#;Java;PHP
2015,Germany,JavaScript;PHP;yii
2015,India,PHP;Python;SQL
2015,India,"AngularJS;C;C++;Cordova;Cloud (AWS, GAE, Azure, etc.);Hadoop;Java;JavaScript;Scala;SQL"
2015,India,Java
2015,India,C;C++;Java;JavaScript;SQL
2015,India,C#;JavaScript;PHP;SQL;SQL Server;Visual Basic;Wordpress
2015,India,C#;SQL Server;ASP .Net MVC; WCF
2015,India,Android;Cordova;iOS;JavaScript;PHP;SQL;SQL Server
2015,India,C;C++;SQL
2015,India,Android;iOS;Python
2015,India,Java;JavaScript
2015,India,Java;SQL;SQL Server
2015,India,C#
2015,Indonesia,Java;JavaScript;PHP;SQL
2015,Indonesia,Java;JavaScript
2015,Italy,Android;C;C#;JavaScript;PHP;Ruby;SQL;SQL Server
2015,Italy,C#;JavaScript;SQL;SQL Server;Visual Basic
2015,Italy,AngularJS;Java;JavaScript;MongoDB;SQL
2015,Latvia,iOS;JavaScript;LAMP;MongoDB;Objective-C;PHP;Python
2015,Mexico,JavaScript;LAMP;PHP
2015,Mexico,Java;JavaScript;PHP;SQL;Wordpress
2015,Mexico,C#;JavaScript;Python;SQL;SQL Server
2015,Mexico,Java;JavaScript;SQL
2015,Mexico,AngularJS;C#;Go;JavaScript;MongoDB;Node.js;PHP;Redis;SQL;SQL Server;Visual Basic;Windows Phone
2015,Netherlands,Java;JavaScript
2015,Netherlands,C#;Javascript
2015,Netherlands,LAMP;PHP;SQL
2015,Netherlands,"C#;Cloud (AWS, GAE, Azure, etc.);SQL;SQL Server"
2015,New Zealand,Android;C;C++;Java;MongoDB;Perl
2015,New Zealand,"C#;Cloud (AWS, GAE, Azure, etc.)"
2015,Norway,C#;SQL;SQL Server
2015,Norway,"AngularJS;Cloud (AWS, GAE, Azure, etc.);Java;Node.js;Scala;SQL"
2015,Norway,Java;JavaScript;SQL
2015,Norway,AngularJS;C#;Java
2015,Peru,Java
2015,Peru,Java;JavaScript;Node.js;Groovy
2015,Poland,Java;JavaScript;Ruby;Scala;Groovy; AEM; CQ
2015,Poland,Android;AngularJS;Java;JavaScript;LAMP;PHP;Python;Wordpress
