year,language,creator
1943,Plankalkül (concept),Konrad Zuse
1943,ENIAC coding system,"John von Neumann, John Mauchly, J. Presper Eckert, Herman Goldstine after Alan Turing"
1946,ENIAC Short Code,"Richard Clippinger, John von Neumann after Alan Turing"
1946,Von Neumann and Goldstine graphing system (Notation),John von Neumann and Herman Goldstine
1947,ARC Assembly,Kathleen Booth[1][2]
1948,CPC Coding scheme,Howard H. Aiken
1948,Curry notation system,Haskell Curry
1948,Plankalkül (concept published),Konrad Zuse
1949,Short Code,John Mauchly and William F. Schmitt
1950,Short Code,"William F Schmidt, Albert B. Tonik,[3] J.R. Logan"
1950,Birkbeck Assembler,Kathleen Booth
1951,Superplan,Heinz Rutishauser
1951,ALGAE,Edward A Voorhees and Karl Balke
1951,Intermediate Programming Language,Arthur Burks
1951,Regional Assembly Language,Maurice Wilkes
1951,Boehm unnamed coding system,Corrado Böhm
1951,Klammerausdrücke,Konrad Zuse
1951,OMNIBAC Symbolic Assembler,Charles Katz
1951,Stanislaus (Notation),Fritz Bauer
1951,Whirlwind assembler,Charles Adams and Jack Gilmore at MIT Project Whirlwind
1951,Rochester assembler,Nat Rochester
1951,Sort Merge Generator,Betty Holberton
1952,A-0,Grace Hopper
1952,Glennie Autocode,Alick Glennie after Alan Turing
1952,Editing Generator,Milly Koss
1952,COMPOOL,RAND/SDC
1953,Speedcoding,John W. Backus
1953,READ/PRINT,"Don Harroff, James Fishman, George Ryckman"
1954,Laning and Zierler system,"Laning, Zierler, Adams at MIT Project Whirlwind"
1954,Mark I Autocode,Tony Brooker
1954,Fortran (concept),Team led by John W. Backus at IBM
1954,ARITH-MATIC,Team led by Grace Hopper at UNIVAC
1954,MATH-MATIC,Team led by Charles Katz
1954,MATRIX MATH,H G Kahrimanian
1954,IPL I (concept),"Allen Newell, Cliff Shaw, Herbert A. Simon"
1955,FLOW-MATIC,Team led by Grace Hopper at UNIVAC
1955,BACAIC,M. Grems and R. Porter
1955,PACT I,SHARE
1955,Freiburger Code[4][5],University of Freiburg
1955,Sequentielle Formelübersetzung,Fritz Bauer and Karl Samelson
1955,IT,Team led by Alan Perlis
1955,PRINT,IBM
1958,IPL II (implementation),"Allen Newell, Cliff Shaw, Herbert A. Simon"
1956,LISP (concept),John McCarthy
1957,COMTRAN,Bob Bemer
1957,GEORGE,Charles Leonard Hamblin
1957,Fortran I (implementation),John W. Backus at IBM
1957,UNICODE,Remington Rand UNIVAC
1957,COMIT (concept),
1958,Fortran II,Team led by John W. Backus at IBM
1958,ALGOL 58 (IAL),ACM/GAMM
1958,IPL V,"Allen Newell, Cliff Shaw, Herbert A. Simon"
1959,APT,Douglas T. Ross
1959,FACT,"Fletcher R. Jones, Roy Nutt, Robert L. Patrick"
1959,COBOL (concept),The CODASYL Committee
1959,JOVIAL,Jules Schwartz at SDC
1959,LISP (implementation),John McCarthy
1959,MAD – Michigan Algorithm Decoder,"Bruce Arden, Bernard Galler, and Robert M. Graham"
1959,TRAC (concept),Calvin Mooers
1960,ALGOL 60,
1960,COBOL 61 (implementation),The CODASYL Committee
1961,COMIT (implementation),
1962,FORTRAN IV,IBM
1962,APL (concept),Kenneth E. Iverson
1962,Simula (concept),
1962,SNOBOL,"Ralph Griswold, et al."
1963,CPL,"Barron, Christopher Strachey, et al."
1963,SNOBOL3,"Griswold, et al."
1963,ALGOL 68 (concept),"Adriaan van Wijngaarden, et al."
1963,JOSS I,"Cliff Shaw, RAND"
1964,MIMIC,"H. E. Petersen, et al."
1964,COWSEL,"Rod Burstall, Robin Popplestone"
1964,PL/I (concept),IBM
1964,BASIC,John George Kemeny and Thomas Eugene Kurtz at Dartmouth College
1964,IBM RPG,IBM
1964,Mark-IV,Informatics
1964,Speakeasy-2,Stanley Cohen at Argonne National Laboratory
1964,TRAC (implementation),Calvin Mooers
