What Country or Region do you live in?,Which US State or Territory do you live in?,Which languages are you proficient in?,,,,,,,,,,,,
Response,Response,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,Perl,None,other (please specify)
Africa,,,JavaScript,,,,,,,,,,,
Other Europe,,Java,,,,,,SQL,,,C,,,
India,,Java,JavaScript,,,,,SQL,,,,,,
Germany,,Java,,,,,,,,,,,,Haskell
Other Asia,,Java,JavaScript,CSS,PHP,,,SQL,,C++,C,Perl,,
Australia,,,JavaScript,,,,,SQL,C#,,,,,
United States of America,Illinois,,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,Perl,,
United States of America,Georgia,,JavaScript,CSS,PHP,,,SQL,,,,,,
Germany,,,,,,,,,C#,,,,,
Germany,,,,,,,,,,,,,,
United Kingdom,,,,,,,,SQL,C#,C++,C,,,
United Kingdom,,,JavaScript,,,Python,,SQL,,C++,C,Perl,,
India,,,,,,,,,C#,,,,,
United Kingdom,,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,
Other Europe,,Java,,,,Python,,SQL,,,,,,
United States of America,California,,JavaScript,CSS,,,,SQL,C#,,,Perl,,VB
Australia,,Java,,,,Python,,SQL,C#,,C,,,MATLAB
Australia,,,,,,,,SQL,C#,,,,,
United States of America,Idaho,Java,JavaScript,CSS,PHP,,,,,,,,,
United States of America,Massachusetts,Java,,,,Python,,,C#,,,,,
France,,,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Virginia,Java,,,,Python,,,,C++,,,,
Germany,,,,,PHP,,,SQL,C#,C++,C,,,
United States of America,South Carolina,,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Oregon,,,,,,,SQL,C#,,,,,
Australasia,,,,CSS,,,,SQL,C#,C++,,,,
Canada,,,,,,,,SQL,C#,,,,,
France,,Java,,,,,,SQL,C#,,,,,
United States of America,Florida,,,,,,,,,,,,,
United Kingdom,,,JavaScript,CSS,,,,SQL,C#,,,,,
Germany,,Java,JavaScript,CSS,,Python,Ruby,SQL,C#,C++,C,,,
United States of America,California,Java,,,PHP,Python,,,,C++,C,,,
Other Europe,,,JavaScript,CSS,,,,SQL,C#,,,,,
Other Europe,,Java,JavaScript,,,Python,,,,,,,,
Other Europe,,,,,,,,,,,,,,
Germany,,Java,JavaScript,,,,,,,,,,,Objective-C 2.0
Germany,,,JavaScript,CSS,,,,,,,,,,
Other Asia,,Java,,,,,,SQL,C#,,,,,
Russia,,,JavaScript,,,,,SQL,C#,,,,,
South America,,,JavaScript,,,,,,C#,,,,,
