What Country or Region do you live in?,Which US State or Territory do you live in?,Which languages are you proficient in?,,,,,,,,,,,,,,
Response,Response,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,None,Other (please specify)
India,,Java,JavaScript,,,,,,SQL,,C++,C,,,,
Germany,,,JavaScript,CSS,PHP,,Objective-C,,,,C++,,,HTML5,,
United Kingdom,,,,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,
France,,Java,,,,,,,,,C++,,,,,
United States of America,Iowa,Java,,,,,,,,,,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
Other Europe,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
Other Europe,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Russia,,Java,,,,,,,SQL,C#,C++,,,,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,New Jersey,Java,JavaScript,CSS,,Python,,,,,C++,C,,,,
United Kingdom,,,,,PHP,,Objective-C,,SQL,,C++,C,Perl,,,
Other Europe,,Java,,,,,,,SQL,,,,,HTML5,,
Canada,,,JavaScript,CSS,,,,,SQL,C#,,,,,,
Italy,,,,,,,,,,,,,,,,
Italy,,Java,,,PHP,,,,,,,,,,,
Other Europe,,,,,,,,,SQL,C#,,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,
India,,Java,JavaScript,,,,,,SQL,,C++,C,,,,
United Kingdom,,Java,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,
United States of America,New York,Java,,,,,,,SQL,,,,,,,
United Kingdom,,,,CSS,,,,,,C#,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
France,,Java,,,,,,,,,,,,,,
United Kingdom,,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,VB.NET
United Kingdom,,,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,,,,,,ASP.NET
United States of America,Indiana,,,,PHP,,,,,,,,,,,
France,,,,,,,,,,,,,,,,
United Kingdom,,,,CSS,PHP,Python,,,SQL,C#,C++,,,HTML5,,
Other Europe,,,,,,,,,,,,,,,,
Canada,,,,,,,,,SQL,C#,,,,,,
United Kingdom,,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
United Kingdom,,,JavaScript,CSS,PHP,,,,SQL,,C++,,Perl,HTML5,,
United Kingdom,,,JavaScript,CSS,,,,,SQL,C#,,,,,,
Australia,,,JavaScript,CSS,PHP,,,,SQL,,,,,,,mIRC Scripting Language
Netherlands,,,,,,,,,SQL,C#,,,,,,
