Country,Current Lang & Tech: Android,Current Lang & Tech: Arduino,Current Lang & Tech: AngularJS,Current Lang & Tech: C,Current Lang & Tech: C++,Current Lang & Tech: C++11,Current Lang & Tech: C#,Current Lang & Tech: Cassandra,Current Lang & Tech: CoffeeScript,Current Lang & Tech: Cordova,Current Lang & Tech: Clojure,Current Lang & Tech: Cloud,Current Lang & Tech: Dart,Current Lang & Tech: F#,Current Lang & Tech: Go,Current Lang & Tech: Hadoop,Current Lang & Tech: Haskell,Current Lang & Tech: iOS,Current Lang & Tech: Java,Current Lang & Tech: JavaScript,Current Lang & Tech: LAMP,Current Lang & Tech: Matlab,Current Lang & Tech: MongoDB,Current Lang & Tech: Node.js,Current Lang & Tech: Objective-C,Current Lang & Tech: Perl,Current Lang & Tech: PHP,Current Lang & Tech: Python,Current Lang & Tech: R,Current Lang & Tech: Redis,Current Lang & Tech: Ruby,Current Lang & Tech: Rust,Current Lang & Tech: Salesforce,Current Lang & Tech: Scala,Current Lang & Tech: Sharepoint,Current Lang & Tech: Spark,Current Lang & Tech: SQL,Current Lang & Tech: SQL Server,Current Lang & Tech: Swift,Current Lang & Tech: Visual Basic,Current Lang & Tech: Windows Phone,Current Lang & Tech: Wordpress,Current Lang & Tech: Write-In
Croatia,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,Scala,,,,,,,,,
France,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,Node.js,,,PHP,Python,,Redis,,,,,,,SQL,,,,,,lua
Norway,,,,,,,C#,,,,,,,,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
N/A,,,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Argentina,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,MongoDB,Node.js,,,,Python,,Redis,Ruby,,,,,,SQL,,,,,,
Australia,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,,,,,,,,,,,SQL Server,,,,,
Belgium,Android,Arduino / Raspberry Pi,AngularJS,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,SQL Server,,,Windows Phone,,Xamarin
Belgium,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,Windows Phone,,X++
Brazil,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,Sharepoint,,,SQL Server,,,,Wordpress,
Brazil,,,,C,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Brazil,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Canada,,,,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,,Objective-C,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,
